key,english,hindi,files
newChat,New Question,नया प्रश्न,src/components/webSidebar.js; src/screens/instantGuruDev.jsx; src/screens/instantGuruProd.jsx
newChatForImage,Click new chat to ask doubt using image,नई चैट पर क्लिक करके इमेज से सवाल पूछें।,src/screens/instantGuruDev.jsx; src/screens/instantGuruProd.jsx; src/screens/web-instant-guru/webInstantGuru.jsx
chooseTypeOfSolution,Apko apke doubt ka solution kaisa chahiye?,आपको आपके डाउट का समाधान कैसा चाहिए?,src/components/instant-guru/chatBubble.jsx; src/components/instant-guru/chatBubbleDev.jsx; src/components/instant-guru/websiteChatBubble.jsx
was_this_helpful,Was this helpful?,पसंद आया?,src/components/PDF_Circle/Global_like_dislike_response.jsx; src/components/instant-guru/chatBubble.jsx; src/components/instant-guru/chatBubbleDev.jsx; src/components/instant-guru/websiteChatBubble.jsx; src/components/instant_guru_classifier/Global_like_dislike_response.jsx
ask_anything,Ask Anything...,कुछ भी पूछें,src/screens/instantGuruProd.jsx; src/screens/web-instant-guru/webInstantGuru.jsx
open_whatsapp,Open Whatsapp,व्हाट्सएप खोलें,src/components/openWhatsappSheet.js
open_whatsapp_msg,Aapke sawalo ke behtar jawabo ke liye humare teachers se whatsapp pe connect karein.,आपके सवालों के बेहतर जवाबों के लिए हमारे टीचर्स से व्हाट्सएप पर जुड़ें।,src/components/openWhatsappSheet.js; src/screens/sme/doubtChat.js
type_your_question,Apna sawal type karein!,अपना सवाल टाइप करें!,src/screens/instantGuruDev.jsx; src/screens/instantGuruProd.jsx; src/screens/web-instant-guru/webInstantGuru.jsx
ask_question_using_image,Ya apne sawal ki photo click karein!,या अपने सवाल की फोटो क्लिक करें!,src/screens/instantGuruDev.jsx; src/screens/instantGuruProd.jsx; src/screens/web-instant-guru/webInstantGuru.jsx
click_here_for_old_questions,Purane sawal aur solutions ke liye yahan click karein!,पुराने सवाल और सॉल्यूशंस के लिए यहां क्लिक करें!,src/screens/instantGuruDev.jsx; src/screens/instantGuruProd.jsx
suggested_question,Suggested Questions,प्रश्न सुझाव,src/screens/instantGuruDev.jsx; src/screens/instantGuruProd.jsx
waiting_for_response,Waiting for response,समाधान की प्रतीक्षा है,src/screens/instantGuruDev.jsx; src/screens/instantGuruProd.jsx; src/screens/web-instant-guru/webInstantGuru.jsx
write_doubt_in_detail,Write your doubt in detail...,अपना प्रश्न विस्तार से लिखें...,src/screens/instantGuruDev.jsx; src/screens/instantGuruProd.jsx; src/screens/web-instant-guru/webInstantGuru.jsx
one_mark_question,Important 1 marks questions,महत्वपूर्ण 1 अंक के प्रश्न,src/screens/instantGuruDev.jsx
read_till_answer_coming,"Answer jald hi aa raha hai, tab tak ye padhein...","उत्तर जल्द ही आ रहा है, तब तक ये पढ़ें...",src/screens/instantGuruDev.jsx
back_to_notes,Back to notes,नोट्स पर वापस जाएँ,src/screens/instantGuruDev.jsx
login_alert_enter_credentials,Please enter username and password,कृपया यूज़रनेम और पासवर्ड दर्ज करें,src/screens/login.js
login_heading_brand,Arivihan SME Login,एरिविहान SME लॉगिन,src/screens/login.js
login_heading,SME Login,SME लॉगिन,src/screens/login.js
login_welcome_subtitle,Welcome back! Let's make today productive and impactful together.,वापसी पर स्वागत है! आज के दिन को मिलकर उत्पादक और प्रभावशाली बनाते हैं।,src/screens/login.js
login_username_label,Username,यूज़रनेम,src/screens/login.js
login_username_placeholder,Enter username,यूज़रनेम दर्ज करें,src/screens/login.js
login_password_label,Password,पासवर्ड,src/screens/login.js
login_password_placeholder,Enter password,पासवर्ड दर्ज करें,src/screens/login.js
login_button,Login,लॉगिन करें,src/screens/login.js
chat_nav_home,Home,होम,src/screens/chatScreen.js; src/screens/smeDashboard.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_nav_contact,Contact,संपर्क करें,src/screens/chatScreen.js; src/screens/smeDashboard.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_nav_about,About,हमारे बारे में,src/screens/chatScreen.js; src/screens/smeDashboard.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_nav_ask_doubt,Ask Doubt,डाउट पूछें,src/screens/chatScreen.js; src/screens/smeDashboard.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_welcome_heading,How can I help you today?,आज मैं आपकी कैसे मदद कर सकता हूँ?,src/screens/chatScreen.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_card_ask_doubt_title,Ask any doubt,कोई भी डाउट पूछें,src/screens/chatScreen.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_card_ask_doubt_desc,E.g. Define 'activation energy' of a reaction.,उदाहरण: किसी अभिक्रिया की 'सक्रियण ऊर्जा' को परिभाषित करें।,src/screens/chatScreen.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_card_clear_concepts_title,Clear your concepts,अपनी अवधारणाएँ स्पष्ट करें,src/screens/chatScreen.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_card_clear_concepts_desc,E.g. Explain when to apply Pseudo Force,उदाहरण: समझाएं कि स्यूडो फोर्स कब लगाया जाता है,src/screens/chatScreen.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_card_revise_title,Revise with us,हमारे साथ रिवीज़न करें,src/screens/chatScreen.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_card_revise_desc,E.g. Which flower blooms once in 12 year,उदाहरण: कौन सा फूल 12 साल में एक बार खिलता है,src/screens/chatScreen.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_card_insights_title,Get deep insights,गहराई से समझें,src/screens/chatScreen.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_card_insights_desc,E.g. When to use substitution,उदाहरण: सब्स्टिट्यूशन का उपयोग कब करें,src/screens/chatScreen.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_welcome_user,"Welcome User,","स्वागत है, उपयोगकर्ता,",src/screens/chatScreen.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_bot_intro_1,"I am Arivihan's Tutor Bot - Here to help you with your JEE/NEET and Board exam preparation. Consider me your personalized study companion, guiding you every step of the way.","मैं एरिविहान का ट्यूटर बॉट हूँ - आपकी JEE/NEET और बोर्ड परीक्षा की तैयारी में मदद के लिए यहाँ हूँ। मुझे अपना व्यक्तिगत स्टडी पार्टनर समझें, जो हर कदम पर आपका साथ देगा।",src/screens/chatScreen.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_bot_intro_2,"When you're ready, feel free to ask me any doubts to clarify your concepts. This marks the beginning of your learning journey, and the real magic is about to unfold!","जब आप तैयार हों, अपनी अवधारणाएं स्पष्ट करने के लिए मुझसे कोई भी डाउट पूछने में संकोच न करें। यह आपकी सीखने की यात्रा की शुरुआत है, और असली जादू अभी शुरू होने वाला है!",src/screens/chatScreen.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_bot_intro_3,Let's start by answering your first query.,आइए आपके पहले सवाल का जवाब देकर शुरुआत करते हैं।,src/screens/chatScreen.js; src/screens/web-instant-guru/webInstantGuru.jsx
chat_input_placeholder,Ask me anything...,कुछ भी पूछें...,src/screens/chatScreen.js
chat_user_label,You,आप,src/screens/chatScreen.js; src/screens/sme/doubtChat.js; src/screens/smeDashboard.js
userchat_sidebar_heading,Sidebar,साइडबार,src/screens/userChat.jsx
userchat_header_title,"Hi, I'm DeepSeek.","नमस्ते, मैं डीपसीक हूँ।",src/screens/userChat.jsx
userchat_new_chat,New chat,नई चैट,src/screens/userChat.jsx
userchat_bot_response,This is a bot response,यह एक बॉट प्रतिक्रिया है,src/screens/userChat.jsx
userchat_input_placeholder,Message DeepSeek,डीपसीक को मैसेज करें,src/screens/userChat.jsx
userchat_send,Send,भेजें,src/screens/userChat.jsx
userchat_search,Search,खोजें,src/screens/userChat.jsx
sidebar_chats,Chats,चैट्स,src/components/sidebar.js
sidebar_login,Login,लॉगिन,src/components/sidebar.js
sidebar_logout,Logout,लॉगआउट,src/components/sidebar.js
sidebar_new_chat,New Chat,नई चैट,src/components/sidebar.js
sidebar_guest_user,Guest User,अतिथि उपयोगकर्ता,src/components/sidebar.js
websidebar_chats,Chats,चैट्स,src/components/webSidebar.js
websidebar_login_prompt,Please login to ask question!,सवाल पूछने के लिए कृपया लॉगिन करें!,src/components/webSidebar.js
websidebar_login,Login,लॉगिन,src/components/webSidebar.js
websidebar_logout,Logout,लॉगआउट,src/components/webSidebar.js
websidebar_guest_user,Guest User,अतिथि उपयोगकर्ता,src/components/webSidebar.js
sme_sidebar_home,Home,होम,src/components/smeSidebar.js
sme_sidebar_app_metrices,App Metrices,ऐप मेट्रिक्स,src/components/smeSidebar.js
sme_sidebar_user_activity,User Activity,यूज़र एक्टिविटी,src/components/smeSidebar.js
sme_sidebar_lectures,Lectures,लेक्चर्स,src/components/smeSidebar.js
sme_sidebar_todo_list,Todo List,टू-डू लिस्ट,src/components/smeSidebar.js
sme_sidebar_students,Students,स्टूडेंट्स,src/components/smeSidebar.js; src/screens/sme/smeHome.js
sme_sidebar_all_doubts,All Doubts,सभी डाउट्स,src/components/smeSidebar.js
sme_sidebar_logout,Logout,लॉगआउट,src/components/smeSidebar.js
auth_dialog_invalid_phone,Please enter a valid 10 digit phone number.,कृपया एक मान्य 10 अंकों का फोन नंबर दर्ज करें।,src/components/authDialog.js
auth_dialog_invalid_otp,Please enter a valid 6 digit OTP.,कृपया एक मान्य 6 अंकों का OTP दर्ज करें।,src/components/authDialog.js
auth_dialog_heading,Login,लॉगिन,src/components/authDialog.js
auth_dialog_subtitle,Enter your phone number to login,लॉगिन करने के लिए अपना फोन नंबर दर्ज करें,src/components/authDialog.js
auth_dialog_phone_placeholder,Phone Number,फोन नंबर,src/components/authDialog.js
auth_dialog_otp_label,Enter OTP,OTP दर्ज करें,src/components/authDialog.js
auth_dialog_otp_placeholder,Enter OTP,OTP दर्ज करें,src/components/authDialog.js
auth_dialog_verify_otp,Verify OTP,OTP वेरिफाई करें,src/components/authDialog.js
auth_dialog_send_otp,Send OTP,OTP भेजें,src/components/authDialog.js
alert_modal_heading,Alert,सूचना,src/components/alertModal.js
alert_modal_close,Close,बंद करें,src/components/alertModal.js
mic_listening,listening...,सुन रहा हूँ...,src/components/micListeningUi.js
instant_guru_bot_name,Instant Guru,इंस्टेंट गुरु,src/components/PDF_Circle/Pdf_circle_mini_screen.jsx; src/components/instant_guru_classifier/Model_Paper_response/Model_Paper_response.jsx; src/components/instant_guru_classifier/Multi video response/Multi_Video_response.jsx; src/components/instant_guru_classifier/Multi_Model_paper_response/Multi_Model_paper_response.jsx; src/components/instant_guru_classifier/Only_Text_response-Componenets/Only_Text_button.jsx; src/components/instant_guru_classifier/Only_Text_response-Componenets/Only_Text_response.jsx; src/components/instant_guru_classifier/PDF_container_response.jsx; src/components/instant_guru_classifier/Question_response/Question_response.jsx; src/components/instant_guru_classifier/Subscription_response/Subscription_response.jsx; src/components/instant_guru_classifier/Video_Text_response_Component/Video_Text_response.jsx; src/components/receiveBubble.js; src/screens/instantGuruDev.jsx; src/screens/instantGuruProd.jsx
chat_limit_exhausted_message,Oops! you have exhaused chat limit. To chat more visit our android application.,ओह! आपकी चैट लिमिट समाप्त हो गई है। और चैट करने के लिए हमारा एंड्रॉइड एप्लीकेशन विजिट करें।,src/components/chatLimitExhaustCard.js
chat_limit_visit_application,Visit Application,एप्लीकेशन देखें,src/components/chatLimitExhaustCard.js
instant_guru_dev_input_placeholder,Type or send a photo to ask...,टाइप करें या फोटो भेज कर पूछें...,src/screens/instantGuruDev.jsx
